product,area_label,prod_label,province,dili_sign
恒山黄芪,恒山,恒山黄芪,14,1
茅山后佛见喜梨,茅山后,佛见喜梨,11,1
杨桥朱红桔,杨桥,朱红桔,34,1
洪门鳙鱼,洪门,洪门鳙鱼,36,1
鄂伦春北五味子,鄂伦春,北五味子,15,1
东岗花椒,东岗,东岗花椒,41,1
切尔克齐奶花芸豆,切尔克齐,奶花芸豆,65,1
惠远胡萝卜,惠远,胡萝卜,65,1
尤溪金柑,尤溪,尤溪金柑,35,1
八街食用玫瑰,八街,食用玫瑰,53,1
桐城小花茶,桐城,小花茶,34,1
古荣糌粑,古荣,古荣糌粑,54,1
洪泽菱角,洪泽,洪泽菱角,32,1
英吉沙色买提杏,英吉沙,色买提杏,65,1
问政山笋,问政,问政山笋,34,1
河口丝瓜,河口,河口丝瓜,34,1
黔北黑猪,黔北,黔北黑猪,52,1
九三大豆,九三,九三大豆,23,1
霞浦紫菜,霞浦,霞浦紫菜,35,1
澎波半细毛羊,澎波,半细毛羊,54,1
嵩县皂角刺,嵩县,皂角刺,41,1
瑞金咸鸭蛋,瑞金,咸鸭蛋,36,1
民勤枸杞,民勤,民勤枸杞,62,1
隰县玉露香梨,隰县,玉露香梨,14,1
安龙石斛,安龙,安龙石斛,52,1
祁阳槟榔芋,祁阳,槟榔芋,43,1
滦南大米,滦南,滦南大米,13,1
五间西瓜,五间,五间西瓜,50,1
怀宁贡糕,怀宁,怀宁贡糕,34,1
香磨山鲢鱼,香磨山,鲢鱼,23,1
白马蜂蜜,白马,白马蜂蜜,50,1
林州茶店太行菊,林州,茶店太行菊,41,1
穆阳线面,穆阳,穆阳线面,35,1
鄂伦春蓝莓,鄂伦春,蓝莓,15,1
金银滩李子,金银滩,李子,64,1
南海黄河鲤鱼,南海,黄河鲤鱼,15,1
潮白河鲫鱼,潮白河,鲫鱼,12,1
通山香榧,通山,通山香榧,42,1
涝河桥牛肉,涝河桥,牛肉,64,1
大泉源酒,,大泉源酒,22,1
茶淀葡萄,茶淀,茶淀葡萄,12,1
思茅咖啡,思茅,思茅咖啡,53,1
金口河川牛膝,金口河,川牛膝,51,1
居仁大米,居仁,居仁大米,23,1
紫阳红,,紫阳红,61,1
巴林大米,巴林,巴林大米,15,1
庐江花香藕,庐江,花香藕,34,1
腰坨子白根萝卜,,腰坨子白根萝卜,22,1
尼雅羊肉,尼雅,尼雅羊肉,65,1
盘龙生姜,盘龙,盘龙生姜,50,1
台头西瓜,台头,台头西瓜,12,1
泾县书画纸,泾县,书画纸,34,1
李集香葱,李集,李集香葱,42,1
寿阳豆腐干,寿阳,豆腐干,14,1
龙池香尖,龙池,龙池香尖,34,1
南盛沙糖桔,南盛,沙糖桔,44,1
锦屏腌鱼,锦屏,锦屏腌鱼,52,1
城前大枣,城前,城前大枣,37,1
东山白蜜,东山,东山白蜜,22,1
泰和竹篙薯,泰和,竹篙薯,36,1
民勤红枣,民勤,民勤红枣,62,1
八宝韭菜,八宝,八宝韭菜,21,1
潜山舒席,潜山,潜山舒席,34,1
合浦大月饼,合浦,大月饼,45,1
宁武莜麦,宁武,宁武莜麦,14,1
西坝生姜,西坝,西坝生姜,51,1
塔里木垦区马鹿胶,塔里木,垦区马鹿胶,65,1
长白山淫羊藿,长白,山淫羊藿,22,1
偃师葡萄,偃师,偃师葡萄,41,1
山口红心山芋,山口,红心山芋,34,1
安集海辣椒,安集,海辣椒,65,1
新立胡萝卜,新立,胡萝卜,23,1
托古小米,托古,托古小米,23,1
胡玉美蚕豆辣酱,胡玉美,蚕豆辣酱,34,1
大方茶,,大方茶,34,1
阳朔九龙藤蜂蜜,阳朔,九龙藤蜂蜜,45,1
东西湖葡萄,东西湖,葡萄,42,1
腾鳌温泉草莓,辽宁,大方漆器,21,1
官司绿茶,官司,官司绿茶,35,1
石洞彩苹果,石洞,彩苹果,13,1
岳西翠兰,岳西,岳西翠兰,34,1
怀玉山三叶青,玉山,怀三叶青,36,1
大黄堡鲢鱼,大黄堡,鲢鱼,12,1
柳河沟香瓜,柳河沟,香瓜,21,1
阳原驴,,阳原驴,13,1
大黄堡河蟹,大黄堡,河蟹,12,1
万州柠檬,万州,万州柠檬,50,1
威宁白萝卜,威宁,白萝卜,52,1
托洞腐竹,托洞,托洞腐竹,44,1
会同魔芋,会同,会同魔芋,43,1
桐城水芹,桐城,桐城水芹,34,1
兴山石蛙,兴山,兴山石蛙,42,1
丰乐酱干,丰乐,丰乐酱干,34,1
英吉沙色买提杏干,英吉沙,色买提杏干,65,1
彭镇青扁豆,彭镇青,扁豆,31,1
新开岭山楂,新开岭,山楂,21,1
吐列毛杜小麦粉,吐列,毛杜小麦粉,15,1
奎湖鳙鱼,奎湖,奎湖鳙鱼,34,1
王桥花果芋,,王桥花果芋,36,1
柘城辣椒,柘城,柘城辣椒,41,1
十万山牛大力,十万山,牛大力,45,1
绩溪黑猪,绩溪,绩溪黑猪,34,1
仙游书峰枇杷,仙游书峰,枇杷,35,1
崔家庄草莓,崔家庄,草莓,37,1
麦洼马,,麦洼马,51,1
闻喜花馍,闻喜,闻喜花馍,14,1
安迪尔甜瓜,安迪尔,甜瓜,65,1
火田大茂山茶,火田,大茂山茶,35,1
桃源红茶,桃源,桃源红茶,43,1
石山黑豆,石山,石山黑豆,46,1
天台山云雾茶,天台,山云雾茶,33,1
大丰大米,大丰,大丰大米,32,1
塔石香羊,塔石,塔石香羊,52,1
雨山核桃,,雨山核桃,37,1
河口韭菜,河口,河口韭菜,34,1
孔坑茶,,孔坑茶,35,1
淖毛湖哈密瓜,哈密,淖毛湖瓜,65,1
沙湖大鱼头,沙湖,大鱼头,64,1
麻大湖毛蟹,麻大湖,毛蟹,37,1
盟台宴酒,盟台,盟台宴酒,37,1
那林鱼,,那林鱼,45,1
坡河萝卜,坡河,坡河萝卜,41,1
金灵青山萝卜,金灵,青山萝卜,50,1
麻旺鸭,,麻旺鸭,50,1
南湖萝卜,南湖,南湖萝卜,42,1
伊河鲂鱼,伊河,伊河鲂鱼,41,1
攸县米粉,攸县,攸县米粉,43,1
枞阳大闸蟹,枞阳,大闸蟹,34,1
占圩红薯,占圩,占圩红薯,36,1
鲁西斗鸡,鲁西,鲁西斗鸡,37,1
陇东黑山羊,陇东,黑山羊,62,1
尼雅黑鸡,尼雅,尼雅黑鸡,65,1
元谋青枣,元谋,元谋青枣,53,1
喀拉布拉苹果,,喀拉布拉苹果,65,1
迭部羊肚菌,迭部,羊肚菌,62,1
东山湖羊,东山,东山湖羊,32,1
桥梓尜尜枣,桥梓,尜尜枣,11,1
泗纶蒸笼,泗纶,泗纶蒸笼,44,1
哈密瓜,,哈密瓜,65,1
芮城苹果,芮城,芮城苹果,14,1
宜城米,,宜城米,42,1
迭部蕨麻猪肉,迭部,蕨麻猪肉,62,1
道光廿五百年贡酒,道光,廿五百年贡酒,21,1
八乡山番薯,八乡山,番薯,44,1
湟中胡麻,湟中,湟中胡麻,63,1
宁国牡丹,宁国,宁国牡丹,34,1
槐山羊板皮,,槐山羊板皮,41,1
东溪花生,东溪,东溪花生,50,1
于田麻鸭,于田,于田麻鸭,65,1
太保胡萝卜,太保,胡萝卜,23,1
八虎山山楂,八虎山,山楂,21,1
乌审旗皇香猪,乌审旗,皇香猪,15,1
孙吴汉麻,孙吴,孙吴汉麻,23,1
新乐花生,新乐,新乐花生,13,1
水江黑猪,水江,水江黑猪,50,1
天祝白牦牛,天祝,白牦牛,62,1
北园大卧龙莲藕,,北园大卧龙莲藕,37,1
关庙山贡米,关庙,山贡米,42,1
