product,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,fenci,area_label,prod_label
三河沙参泥,上海,市辖区,浦东新区,31,3101,310115,三河 沙参 泥,三河,沙参泥
南江黄羊汤,上海,市辖区,浦东新区,31,3101,310115,南江 黄羊 汤,南江,黄羊汤
唐氏秘制卤鸭,上海,市辖区,浦东新区,31,3101,310115,唐氏 秘制 卤鸭,唐氏,秘制卤鸭
巴山土猪辣卤拼,上海,市辖区,浦东新区,31,3101,310115,巴山 土猪 辣 卤 拼,巴山,土猪辣卤拼
林氏提糖麻饼,上海,市辖区,浦东新区,31,3101,310115,林氏 提糖 麻饼,林氏,提糖麻饼
正直品碗,上海,市辖区,浦东新区,31,3101,310115,正直 品碗,正直,正直品碗
白玉鱼汤,上海,市辖区,浦东新区,31,3101,310115,白玉 鱼汤,白玉,白玉鱼汤
观音井板鸭,上海,市辖区,浦东新区,31,3101,310115,观音 井 板鸭,观音,井板鸭
诺水艄公鱼,上海,市辖区,浦东新区,31,3101,310115,诺水 艄公 鱼,诺水,艄公鱼
雾露银耳包,上海,市辖区,浦东新区,31,3101,310115,雾露 银耳 包,雾露,银耳包
青峪红烧肉,上海,市辖区,浦东新区,31,3101,310115,青峪 红烧肉,青峪,红烧肉
黄羊砂锅米线,上海,市辖区,浦东新区,31,3101,310115,黄羊 砂锅 米线,黄羊,砂锅米线
通江银耳莲子羮,四川,巴中,通江县,51,5119,511921,通江 银耳 莲子 羮,通江,银耳莲子羮
公会晒烟,广西,贺州,平桂区,45,4511,451103,公会 晒烟,公会,公会晒烟
平桂青梅,广西,贺州,平桂区,45,4511,451103,平桂 青梅,平桂,平桂青梅
平桂马蹄,广西,贺州,平桂区,45,4511,451103,平桂 马蹄,平桂,平桂马蹄
贺州田螺煲,广西,贺州,平桂区,45,4511,451103,贺州 田螺 煲,贺州,田螺煲
贺州黄田扣肉,广西,贺州,平桂区,45,4511,451103,贺州 黄田 扣肉,贺州,黄田扣肉
鹅塘油粘米,广西,贺州,平桂区,45,4511,451103,鹅塘油 粘米,鹅塘油,粘米
三鲜豌豆,上海,市辖区,嘉定区,31,3101,310114,三鲜 豌豆,三鲜,三鲜豌豆
上海菜肉大馄饨,上海,市辖区,嘉定区,31,3101,310114,上海 菜肉 大 馄饨,上海,菜肉大馄饨
农灯草莓,上海,市辖区,嘉定区,31,3101,310114,农灯 草莓,农灯,农灯草莓
华亭哈密瓜,上海,市辖区,嘉定区,31,3101,310114,华亭 哈密瓜,华亭,哈密瓜
南翔小笼包,上海,市辖区,嘉定区,31,3101,310114,南翔小笼包,,南翔小笼包
嘉定白蚕豆,上海,市辖区,嘉定区,31,3101,310114,嘉定 白 蚕豆,嘉定,白蚕豆
嘉定肉鸽,上海,市辖区,嘉定区,31,3101,310114,嘉定 肉鸽,嘉定,嘉定肉鸽
嘉定黄草编,上海,市辖区,嘉定区,31,3101,310114,嘉定 黄 草编,嘉定,黄草编
徐行草编,上海,市辖区,嘉定区,31,3101,310114,徐行 草编,徐行,徐行草编
罗汉菜,上海,市辖区,嘉定区,31,3101,310114,罗汉 菜,,罗汉菜
肥羊大面,上海,市辖区,嘉定区,31,3101,310114,肥羊 大面,肥羊,肥羊大面
贵妃鸡,上海,市辖区,嘉定区,31,3101,310114,贵妃鸡,,贵妃鸡
辣蛋片,上海,市辖区,嘉定区,31,3101,310114,辣蛋片,,辣蛋片
上海生煎,上海,市辖区,奉贤区,31,3101,310120,上海 生 煎,上海,上海生煎
上海蜜梨,上海,市辖区,奉贤区,31,3101,310120,上海 蜜梨,上海,上海蜜梨
千张包,上海,市辖区,奉贤区,31,3101,310120,千张 包,,千张包
南桥乳腐,上海,市辖区,奉贤区,31,3101,310120,南桥 乳腐,南桥,南桥乳腐
奉城香辣蟹,上海,市辖区,奉贤区,31,3101,310120,奉城 香辣蟹,奉城,香辣蟹
奉贤黄秋葵,上海,市辖区,奉贤区,31,3101,310120,奉贤 黄秋葵,奉贤,黄秋葵
明鳗鲡,上海,市辖区,奉贤区,31,3101,310120,明 鳗鲡,,明鳗鲡
汉光陶瓷,上海,市辖区,奉贤区,31,3101,310120,汉光 陶瓷,汉光,汉光陶瓷
油氽排骨年糕,上海,市辖区,奉贤区,31,3101,310120,油 氽 排骨 年糕,,油氽排骨年糕
爆炒虾仁,上海,市辖区,奉贤区,31,3101,310120,爆炒 虾仁,爆炒,爆炒虾仁
牡蛎蒸米饭,上海,市辖区,奉贤区,31,3101,310120,牡蛎 蒸 米饭,牡蛎,蒸米饭
玉穗葡萄,上海,市辖区,奉贤区,31,3101,310120,玉穗 葡萄,玉穗,玉穗葡萄
玫瑰乳腐,上海,市辖区,奉贤区,31,3101,310120,玫瑰 乳腐,玫瑰,玫瑰乳腐
神仙美酒,上海,市辖区,奉贤区,31,3101,310120,神仙 美酒,神仙,神仙美酒
糟香大拼盆,上海,市辖区,奉贤区,31,3101,310120,糟香大 拼盆,糟香大,拼盆
锦绣黄桃,上海,市辖区,奉贤区,31,3101,310120,锦绣 黄桃,锦绣,锦绣黄桃
鲜美鱼片粥,上海,市辖区,奉贤区,31,3101,310120,鲜美 鱼片 粥,鲜美,鱼片粥
三林糖酱瓜,上海,市辖区,宝山区,31,3101,310113,三林糖 酱瓜,三林糖,酱瓜
上海八宝饭,上海,市辖区,宝山区,31,3101,310113,上海 八宝饭,上海,八宝饭
上海民间工艺,上海,市辖区,宝山区,31,3101,310113,上海 民间工艺,上海,民间工艺
上海玉器,上海,市辖区,宝山区,31,3101,310113,上海 玉器,上海,上海玉器
上海蒸鱼,上海,市辖区,宝山区,31,3101,310113,上海 蒸鱼,上海,上海蒸鱼
上海金属工艺,上海,市辖区,宝山区,31,3101,310113,上海 金属工艺,上海,金属工艺
原笼粉蒸牛肉,上海,市辖区,宝山区,31,3101,310113,原笼 粉蒸 牛肉,原笼,粉蒸牛肉
宝山鮰鱼,上海,市辖区,宝山区,31,3101,310113,宝山 鮰 鱼,宝山,宝山鮰鱼
宝杨黄瓜,上海,市辖区,宝山区,31,3101,310113,宝杨 黄瓜,宝杨,宝杨黄瓜
游子老鸭粉丝汤,上海,市辖区,宝山区,31,3101,310113,游子 老鸭 粉丝汤,游子,老鸭粉丝汤
烟熏鲳鱼,上海,市辖区,宝山区,31,3101,310113,烟熏 鲳鱼,烟熏,烟熏鲳鱼
鸡丝炒面,上海,市辖区,宝山区,31,3101,310113,鸡丝 炒面,鸡丝,鸡丝炒面
上海芦笋,上海,市辖区,崇明区,31,3101,310151,上海 芦笋,上海,上海芦笋
上海银鱼,上海,市辖区,崇明区,31,3101,310151,上海 银鱼,上海,上海银鱼
人造花,上海,市辖区,崇明区,31,3101,310151,人造花,,人造花
凤尾鱼罐头,上海,市辖区,崇明区,31,3101,310151,凤尾鱼 罐头,凤尾鱼,罐头
刀鱼,上海,市辖区,崇明区,31,3101,310151,刀鱼,,刀鱼
大红袍赤豆,上海,市辖区,崇明区,31,3101,310151,大红袍 赤豆,大红袍,赤豆
崇明大白菜,上海,市辖区,崇明区,31,3101,310151,崇明 大白菜,崇明,大白菜
崇明水仙花,上海,市辖区,崇明区,31,3101,310151,崇明 水仙花,崇明,水仙花
崇明甜包瓜,上海,市辖区,崇明区,31,3101,310151,崇明 甜包瓜,崇明,甜包瓜
崇明糕,上海,市辖区,崇明区,31,3101,310151,崇明 糕,,崇明糕
崇明花菜,上海,市辖区,崇明区,31,3101,310151,崇明 花菜,崇明,崇明花菜
崇明酱包瓜,上海,市辖区,崇明区,31,3101,310151,崇明 酱 包瓜,崇明,酱包瓜
崇明香芋,上海,市辖区,崇明区,31,3101,310151,崇明 香芋,崇明,崇明香芋
浪花香天鱼,上海,市辖区,崇明区,31,3101,310151,浪花 香天鱼,浪花,香天鱼
海仔水牛,上海,市辖区,崇明区,31,3101,310151,海仔 水牛,海仔,海仔水牛
甜芦粟,上海,市辖区,崇明区,31,3101,310151,甜 芦粟,,甜芦粟
老毛蟹,上海,市辖区,崇明区,31,3101,310151,老毛蟹,,老毛蟹
老黑皮西瓜,上海,市辖区,崇明区,31,3101,310151,老 黑皮 西瓜,,老黑皮西瓜
脆皮鱼丝,上海,市辖区,崇明区,31,3101,310151,脆皮 鱼丝,脆皮,脆皮鱼丝
草头圈子,上海,市辖区,崇明区,31,3101,310151,草头 圈子,草头,草头圈子
虫草炖全鸭,上海,市辖区,崇明区,31,3101,310151,虫草 炖 全鸭,虫草,炖全鸭
虾子大乌参,上海,市辖区,崇明区,31,3101,310151,虾子 大乌参,虾子,大乌参
蟹苗,上海,市辖区,崇明区,31,3101,310151,蟹苗,,蟹苗
鳗苗,上海,市辖区,崇明区,31,3101,310151,鳗苗,,鳗苗
鳗鲡,上海,市辖区,崇明区,31,3101,310151,鳗鲡,,鳗鲡
上海富春小笼,上海,市辖区,徐汇区,31,3101,310104,上海 富春 小笼,上海,富春小笼
上海漆器,上海,市辖区,徐汇区,31,3101,310104,上海 漆器,上海,上海漆器
上海牙雕,上海,市辖区,徐汇区,31,3101,310104,上海 牙雕,上海,上海牙雕
上海白肚,上海,市辖区,徐汇区,31,3101,310104,上海 白肚,上海,上海白肚
上海砚刻,上海,市辖区,徐汇区,31,3101,310104,上海 砚刻,上海,上海砚刻
乌泥泾手工棉纺织品,上海,市辖区,徐汇区,31,3101,310104,乌泥 泾 手工 棉纺织品,乌泥,泾手工棉纺织品
擂沙团,上海,市辖区,徐汇区,31,3101,310104,擂沙团,,擂沙团
松江四鳃鲈鱼汤,上海,市辖区,徐汇区,31,3101,310104,松江 四鳃鲈鱼 汤,松江,四鳃鲈鱼汤
炒鳝糊,上海,市辖区,徐汇区,31,3101,310104,炒鳝 糊,,炒鳝糊
糯米团,上海,市辖区,徐汇区,31,3101,310104,糯米团,,糯米团
蟹粉烩鱼翅,上海,市辖区,徐汇区,31,3101,310104,蟹粉 烩 鱼翅,蟹粉,烩鱼翅
锅贴桂鱼,上海,市辖区,徐汇区,31,3101,310104,锅贴 桂鱼,锅贴,锅贴桂鱼
青团,上海,市辖区,徐汇区,31,3101,310104,青团,,青团
面拖蟹,上海,市辖区,徐汇区,31,3101,310104,面拖蟹,,面拖蟹
鸭肫肝,上海,市辖区,徐汇区,31,3101,310104,鸭肫肝,,鸭肫肝
鸽蛋圆子,上海,市辖区,徐汇区,31,3101,310104,鸽蛋 圆子,鸽蛋,鸽蛋圆子
龙凤酸辣汤,上海,市辖区,徐汇区,31,3101,310104,龙凤 酸辣汤,龙凤,酸辣汤
上海擂沙圆,上海,市辖区,普陀区,31,3101,310107,上海 擂沙圆,上海,擂沙圆
上海素菜包,上海,市辖区,普陀区,31,3101,310107,上海 素菜 包,上海,素菜包
