product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,
嘉定梅山猪,0,1,0,1,上海,市辖区,嘉定区,31,3101,310114,5,嘉定,梅山猪,2,3,5
嘉定白蒜,1,0,0,1,上海,市辖区,嘉定区,31,3101,310114,4,嘉定,白蒜,2,2,4
嘉定竹刻,1,0,0,1,上海,市辖区,嘉定区,31,3101,310114,4,嘉定,竹刻,2,2,4
奉贤黄桃,1,1,1,1,上海,市辖区,奉贤区,31,3101,310120,4,奉贤,黄桃,2,2,4
崇明水仙,1,1,0,1,上海,市辖区,崇明区,31,3101,310151,4,崇明,水仙,2,2,4
崇明沙乌头猪,0,1,0,1,上海,市辖区,崇明区,31,3101,310151,6,崇明,沙乌头猪,2,4,6
崇明白山羊,1,1,0,1,上海,市辖区,崇明区,31,3101,310151,5,崇明,白山羊,2,3,5
崇明白扁豆,1,0,0,1,上海,市辖区,崇明区,31,3101,310151,5,崇明,白扁豆,2,3,5
崇明老毛蟹,1,0,1,1,上海,市辖区,崇明区,31,3101,310151,5,崇明,老毛蟹,2,3,5
崇明老白酒,0,0,1,1,上海,市辖区,崇明区,31,3101,310151,5,崇明,老白酒,2,3,5
崇明金瓜,1,1,0,1,上海,市辖区,崇明区,31,3101,310151,4,崇明,金瓜,2,2,4
崇明香酥芋,1,0,0,1,上海,市辖区,崇明区,31,3101,310151,5,崇明,香酥芋,2,3,5
松江大米,1,0,1,1,上海,市辖区,松江区,31,3101,310117,4,松江,大米,2,2,4
金山蟠桃,0,1,1,1,上海,市辖区,金山区,31,3101,310116,4,金山,蟠桃,2,2,4
阿力玛里树上干杏,0,1,0,1,新疆,伊犁,霍城县,65,6540,654023,8,阿力玛里,树上干杏,4,4,8
阿图什无花果,1,0,0,1,新疆,克州,阿图什市,65,6530,653001,6,阿图什,无花果,3,3,6
云县白花木瓜,1,0,0,1,云南,临沧,云县,53,5309,530922,6,云县,白花木瓜,2,4,6
凤庆滇红茶,1,0,0,1,云南,临沧,凤庆县,53,5309,530921,5,凤庆,滇红茶,2,3,5
永德芒果,1,0,1,1,云南,临沧,永德县,53,5309,530923,4,永德,芒果,2,2,4
丽江玛咖,1,0,0,1,云南,丽江,归口丽江,53,5307,530799,4,丽江,玛咖,2,2,4
安迪尔甜瓜,0,1,0,1,新疆,直辖县,石河子市,65,6590,659001,5,安迪尔,甜瓜,3,2,5
安迪尔甜瓜,0,1,0,1,新疆,和田,民丰县,65,6532,653227,5,安迪尔,甜瓜,3,2,5
安迪尔甜瓜,0,1,0,1,新疆,直辖县,五家渠市,65,6590,659004,5,安迪尔,甜瓜,3,2,5
安顶云雾茶,1,0,0,1,浙江,杭州,富阳区,33,3301,330111,5,安顶,云雾茶,2,3,5
他留乌骨鸡,1,0,0,1,云南,丽江,永胜县,53,5307,530722,5,,他留乌骨鸡,0,5,5
丽江烟叶,1,0,0,1,云南,丽江,玉龙县,53,5307,530721,4,丽江,烟叶,2,2,4
丽江雪桃,1,0,0,1,云南,丽江,玉龙县,53,5307,530721,4,丽江,雪桃,2,2,4
玉龙滇重楼,0,1,0,1,云南,丽江,玉龙县,53,5307,530721,5,玉龙,滇重楼,2,3,5
保山烟叶,0,1,0,1,云南,保山,施甸县,53,5305,530521,4,保山,烟叶,2,2,4
保山猪,1,1,0,1,云南,保山,施甸县,53,5305,530521,3,,保山猪,0,3,3
施甸水蛭,0,0,1,1,云南,保山,施甸县,53,5305,530521,4,施甸,水蛭,2,2,4
保山甜柿,1,1,0,1,云南,保山,昌宁县,53,5305,530524,4,保山,甜柿,2,2,4
保山绿蚕豆,1,0,0,1,云南,保山,昌宁县,53,5305,530524,5,保山,绿蚕豆,2,3,5
昌宁核桃,1,0,1,1,云南,保山,昌宁县,53,5305,530524,4,昌宁,核桃,2,2,4
昌宁红茶,1,0,1,1,云南,保山,昌宁县,53,5305,530524,4,,昌宁红茶,0,4,4
保山透心绿蚕豆,0,1,0,1,云南,保山,隆阳区,53,5305,530502,7,保山,透心绿蚕豆,2,5,7
安吉冬笋,1,0,0,1,浙江,湖州,安吉县,33,3305,330523,4,安吉,冬笋,2,2,4
龙陵紫皮石斛,1,1,1,1,云南,保山,龙陵县,53,5305,530523,6,龙陵,紫皮石斛,2,4,6
龙陵黄山羊,1,1,0,1,云南,保山,龙陵县,53,5305,530523,5,龙陵,黄山羊,2,3,5
龙陵黄龙玉雕,1,0,0,1,云南,保山,龙陵县,53,5305,530523,6,龙陵,黄龙玉雕,2,4,6
云龙矮脚鸡,0,1,0,1,云南,大理,云龙县,53,5329,532929,5,云龙,矮脚鸡,2,3,5
云龙绿茶,1,0,0,1,云南,大理,云龙县,53,5329,532929,4,云龙,绿茶,2,2,4
云龙茶,0,1,0,1,云南,大理,云龙县,53,5329,532929,3,,云龙茶,0,3,3
安集海辣椒,0,1,0,1,新疆,塔城,沙湾县,65,6542,654223,5,安集海,辣椒,3,2,5
南涧无量山乌骨鸡,1,1,0,1,云南,大理,南涧县,53,5329,532926,8,南涧,无量山乌骨鸡,2,6,8
南涧绿茶,1,0,0,1,云南,大理,南涧县,53,5329,532926,4,南涧,绿茶,2,2,4
安集海辣椒,0,1,0,1,新疆,直辖县,石河子市,65,6590,659001,5,安集海,辣椒,3,2,5
云南下关沱茶,0,0,1,1,云南,大理,大理市,53,5329,532901,6,云南,下关沱茶,2,4,6
大理独头大蒜,0,1,0,1,云南,大理,大理市,53,5329,532901,6,大理,独头大蒜,2,4,6
宾川拉乌核桃,1,0,0,1,云南,大理,宾川县,53,5329,532924,6,宾川,拉乌核桃,2,4,6
宾川朱苦拉咖啡,1,0,1,1,云南,大理,宾川县,53,5329,532924,7,宾川,朱苦拉咖啡,2,5,7
宾川柑橘,0,0,1,1,云南,大理,宾川县,53,5329,532924,4,,宾川柑橘,0,4,4
宾川红提葡萄,1,0,0,1,云南,大理,宾川县,53,5329,532924,6,宾川,红提葡萄,2,4,6
安集海辣椒,0,1,0,1,新疆,直辖县,五家渠市,65,6590,659004,5,安集海,辣椒,3,2,5
巍山红雪梨,1,1,0,1,云南,大理,巍山县,53,5329,532927,5,巍山,红雪梨,2,3,5
永平白鹅,1,1,0,1,云南,大理,永平县,53,5329,532928,4,永平,白鹅,2,2,4
洱源梅子,0,0,1,1,云南,大理,洱源县,53,5329,532930,4,洱源,梅子,2,2,4
梁河回龙茶,1,1,0,1,云南,德宏,梁河县,53,5331,533122,5,梁河,回龙茶,2,3,5
梁河葫芦丝,1,0,1,1,云南,德宏,梁河县,53,5331,533122,5,梁河,葫芦丝,2,3,5
瑞丽柠檬,0,0,1,1,云南,德宏,瑞丽市,53,5331,533102,4,瑞丽,柠檬,2,2,4
德宏香软米,1,0,0,1,云南,德宏,盈江县,53,5331,533123,5,德宏,香软米,2,3,5
德宏水牛,1,0,0,1,云南,德宏,芒市,53,5331,533103,4,德宏,水牛,2,2,4
芒市石斛,1,0,1,1,云南,德宏,芒市,53,5331,533103,4,芒市,石斛,2,2,4
西双版纳茶花鸡,1,0,0,1,云南,德宏,芒市,53,5331,533103,7,西双版纳,茶花鸡,4,3,7
德宏咖啡,1,0,0,1,云南,德宏,陇川县,53,5331,533124,4,德宏,咖啡,2,2,4
德宏柠檬,1,0,0,1,云南,德宏,陇川县,53,5331,533124,4,德宏,柠檬,2,2,4
安砂淮山,0,0,1,1,福建,三明,永安市,35,3504,350481,4,安砂,淮山,2,2,4
兰坪乌骨绵羊,1,0,0,1,云南,怒江,兰坪县,53,5333,533325,6,兰坪,乌骨绵羊,2,4,6
安溪铁观音,1,1,1,1,福建,泉州,安溪县,35,3505,350524,5,安溪,铁观音,2,3,5
福贡云黄连,0,0,1,1,云南,怒江,福贡县,53,5333,533323,5,福贡,云黄连,2,3,5
独龙牛,1,0,0,1,云南,怒江,贡山县,53,5333,533324,3,,独龙牛,0,3,3
丘北辣椒,1,1,0,1,云南,文山,丘北县,53,5326,532626,4,丘北,辣椒,2,2,4
富宁八角,1,1,0,1,云南,文山,富宁县,53,5326,532628,4,富宁,八角,2,2,4
文山牛,0,1,0,1,云南,文山,富宁县,53,5326,532628,3,,文山牛,0,3,3
广南西枫斗,1,0,0,1,云南,文山,广南县,53,5326,532627,5,广南,西枫斗,2,3,5
广南铁皮石斛,1,0,1,1,云南,文山,广南县,53,5326,532627,6,广南,铁皮石斛,2,4,6
广南高峰黄牛,1,0,0,1,云南,文山,广南县,53,5326,532627,6,广南,高峰黄牛,2,4,6
底圩茶,0,1,0,1,云南,文山,广南县,53,5326,532627,3,,底圩茶,0,3,3
文山三七,1,0,1,1,云南,文山,文山市,53,5326,532601,4,文山,三七,2,2,4
文山他披梨,0,1,0,1,云南,文山,文山市,53,5326,532601,5,文山,他披梨,2,3,5
砚山小粒花生,0,1,0,1,云南,文山,砚山县,53,5326,532622,6,砚山,小粒花生,2,4,6
西畴阳荷,0,1,0,1,云南,文山,西畴县,53,5326,532623,4,西畴,阳荷,2,2,4
东川面条,0,0,1,1,云南,昆明,东川区,53,5301,530113,4,东川,面条,2,2,4
八里营甜瓜,0,0,1,1,河南,安阳,滑县,41,4105,410526,5,八里营,甜瓜,3,2,5
呈贡宝珠梨,1,1,1,1,云南,昆明,呈贡区,53,5301,530114,5,呈贡,宝珠梨,2,3,5
安宁红梨,1,0,0,1,云南,昆明,安宁市,53,5301,530181,4,安宁,红梨,2,2,4
白城绿豆,1,0,1,1,吉林,白城,大安市,22,2208,220882,4,白城,绿豆,2,2,4
白城绿豆,1,0,1,1,吉林,白城,洮北区,22,2208,220802,4,白城,绿豆,2,2,4
富民茭瓜,0,1,0,1,云南,昆明,富民县,53,5301,530124,4,富民,茭瓜,2,2,4
寻甸牛干巴,1,0,1,1,云南,昆明,寻甸县,53,5301,530129,5,寻甸,牛干巴,2,3,5
嵩明生菜,1,0,0,1,云南,昆明,嵩明县,53,5301,530127,4,嵩明,生菜,2,2,4
白城绿豆,1,0,1,1,吉林,白城,洮南市,22,2208,220881,4,白城,绿豆,2,2,4
云南白药,0,0,1,1,云南,昆明,盘龙区,53,5301,530103,4,云南,白药,2,2,4
白城绿豆,1,0,1,1,吉林,白城,通榆县,22,2208,220822,4,白城,绿豆,2,2,4
芭蕉木瓜,0,1,0,1,四川,南充,仪陇县,51,5113,511324,4,,芭蕉木瓜,0,4,4
云南天麻,1,0,1,1,云南,昭通,彝良县,53,5306,530628,4,云南,天麻,2,2,4
昭通苦荞,0,1,0,1,云南,昭通,昭阳区,53,5306,530602,4,昭通,苦荞,2,2,4
昭通苹果,1,1,0,1,云南,昭通,昭阳区,53,5306,530602,4,昭通,苹果,2,2,4
永善花椒,1,0,0,1,云南,昭通,永善县,53,5306,530625,4,永善,花椒,2,2,4
盐津乌骨鸡,1,1,0,1,云南,昭通,盐津县,53,5306,530623,5,盐津,乌骨鸡,2,3,5
昭通土豆,1,0,0,1,云南,昭通,鲁甸县,53,5306,530621,4,昭通,土豆,2,2,4
鲁甸大麻核桃,1,0,0,1,云南,昭通,鲁甸县,53,5306,530621,6,鲁甸,大麻核桃,2,4,6
鲁甸青花椒,1,0,0,1,云南,昭通,鲁甸县,53,5306,530621,5,鲁甸,青花椒,2,3,5
普洱石斛,1,0,0,1,云南,普洱,归口普洱,53,5308,530899,4,普洱,石斛,2,2,4
普洱茶,1,0,1,1,云南,普洱,归口普洱,53,5308,530899,3,,普洱茶,0,3,3
白城绿豆,1,0,1,1,吉林,白城,镇赉县,22,2208,220821,4,白城,绿豆,2,2,4
墨江紫米,1,0,1,1,云南,普洱,墨江县,53,5308,530822,4,墨江,紫米,2,2,4
景东核桃,1,0,0,1,云南,普洱,景东县,53,5308,530823,4,景东,核桃,2,2,4
景东紫胶,1,0,0,1,云南,普洱,景东县,53,5308,530823,4,景东,紫胶,2,2,4
景东芒果,1,0,0,1,云南,普洱,景东县,53,5308,530823,4,景东,芒果,2,2,4
普洱烟叶,1,0,0,1,云南,普洱,江城县,53,5308,530826,4,普洱,烟叶,2,2,4
澜沧栘依,1,0,0,1,云南,普洱,澜沧县,53,5308,530828,4,澜沧,栘依,2,2,4
西盟米荞,1,0,0,1,云南,普洱,西盟县,53,5308,530829,4,西盟,米荞,2,2,4
普洱瓢鸡,0,1,0,1,云南,普洱,镇沅县,53,5308,530825,4,普洱,瓢鸡,2,2,4
会泽大洋芋,0,1,0,1,云南,曲靖,会泽县,53,5303,530326,5,会泽,大洋芋,2,3,5
会泽宝珠梨,0,1,0,1,云南,曲靖,会泽县,53,5303,530326,5,会泽,宝珠梨,2,3,5
宣威土豆,1,0,0,1,云南,曲靖,宣威市,53,5303,530381,4,宣威,土豆,2,2,4
宣威火腿,1,0,1,1,云南,曲靖,宣威市,53,5303,530381,4,宣威,火腿,2,2,4
富源大河乌猪,1,1,0,1,云南,曲靖,富源县,53,5303,530325,6,富源,大河乌猪,2,4,6
富源魔芋,1,1,0,1,云南,曲靖,富源县,53,5303,530325,4,富源,魔芋,2,2,4
师宗薏仁米,1,0,0,1,云南,曲靖,师宗县,53,5303,530323,5,师宗,薏仁米,2,3,5
师宗黑尔糯米,1,0,0,1,云南,曲靖,师宗县,53,5303,530323,6,师宗,黑尔糯米,2,4,6
师宗黑山羊,1,0,0,1,云南,曲靖,师宗县,53,5303,530323,5,师宗,黑山羊,2,3,5
高良苡仁米,0,1,0,1,云南,曲靖,师宗县,53,5303,530323,5,,高良苡仁米,0,5,5
罗平小黄姜,1,0,0,1,云南,曲靖,罗平县,53,5303,530324,5,罗平,小黄姜,2,3,5
罗平菜油,1,0,0,1,云南,曲靖,罗平县,53,5303,530324,4,罗平,菜油,2,2,4
罗平蜂蜜,1,0,0,1,云南,曲靖,罗平县,53,5303,530324,4,罗平,蜂蜜,2,2,4
罗平黄山羊,0,1,0,1,云南,曲靖,罗平县,53,5303,530324,5,罗平,黄山羊,2,3,5
马龙苹果,0,1,0,1,云南,曲靖,马龙县,53,5303,530321,4,马龙,苹果,2,2,4
楚雄撒坝猪,0,1,0,1,云南,楚雄,归口楚雄,53,5323,532399,5,楚雄,撒坝猪,2,3,5
南华松茸,0,0,1,1,云南,楚雄,南华县,53,5323,532324,4,,南华松茸,0,4,4
大姚核桃,1,0,1,1,云南,楚雄,大姚县,53,5323,532326,4,大姚,核桃,2,2,4
姚安山药,1,0,0,1,云南,楚雄,姚安县,53,5323,532325,4,姚安,山药,2,2,4
楚雄核桃,1,0,0,1,云南,楚雄,楚雄市,53,5323,532301,4,楚雄,核桃,2,2,4
楚雄牛肝菌,0,0,1,1,云南,楚雄,楚雄市,53,5323,532301,5,楚雄,牛肝菌,2,3,5
武定壮鸡,1,0,0,1,云南,楚雄,武定县,53,5323,532329,4,武定,壮鸡,2,2,4
