product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,,
三河沙参泥,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,5,三河,沙参泥,2,3,5,
南江黄羊汤,0,0,0,0,四川,巴中,南江县,51,5119,511922,5,南江,黄羊汤,2,3,5,
唐氏秘制卤鸭,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,6,唐氏,秘制卤鸭,2,4,6,
巴山土猪辣卤拼,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,7,巴山,土猪辣卤拼,2,5,7,
林氏提糖麻饼,0,0,0,0,四川,巴中,巴州区,51,5119,511902,6,林氏,提糖麻饼,2,4,6,
正直品碗,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,4,正直,品碗,2,2,4,
白玉鱼汤,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,4,白玉,鱼汤,2,2,4,
观音井板鸭,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,5,观音井,板鸭,3,2,5,
诺水艄公鱼,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,5,诺水,艄公鱼,2,3,5,
雾露银耳包,0,0,0,0,四川,巴中,南江县,51,5119,511922,5,雾露,银耳包,2,3,5,
青峪红烧肉,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,5,青峪,红烧肉,2,3,5,
黄羊砂锅米线,0,0,0,0,四川,巴中,归口巴中,51,5119,511999,6,黄羊,砂锅米线,2,4,6,
通江银耳莲子羮,0,0,0,0,四川,巴中,通江县,51,5119,511921,7,通江,银耳莲子羮,2,5,7,
公会晒烟,0,0,0,0,广西,贺州,平桂区,45,4511,451103,4,公会,晒烟,2,2,4,
平桂青梅,0,0,0,0,广西,贺州,平桂区,45,4511,451103,4,平桂,青梅,2,2,4,
平桂马蹄,0,0,0,0,广西,贺州,平桂区,45,4511,451103,4,平桂,马蹄,2,2,4,
贺州田螺煲,0,0,0,0,广西,贺州,平桂区,45,4511,451103,5,贺州,田螺煲,2,3,5,
贺州黄田扣肉,0,0,0,0,广西,贺州,平桂区,45,4511,451103,6,贺州,黄田扣肉,2,4,6,
鹅塘油粘米,0,0,0,0,广西,贺州,平桂区,45,4511,451103,5,鹅塘,油粘米,2,3,5,
三鲜豌豆,0,0,0,0,上海,市辖区,嘉定区,31,3101,310114,4,三鲜,豌豆,2,2,4,
上海菜肉大馄饨,0,0,0,0,上海,市辖区,嘉定区,31,3101,310114,7,上海,菜肉大馄饨,2,5,7,
农灯草莓,0,0,0,0,上海,市辖区,嘉定区,31,3101,310114,4,农灯,草莓,2,2,4,
