,id,prod_id,prod_name,areabrand_name,prod_detail,cid,first_cat,agri_firstcat,sepcial_name,Geodict,NotGeodict,final_Prod,final_label
0,1,562000000000.0,正宗福州手工鱼丸包心大小鱼丸特产袋装丸子火锅食材批发500g,福州鱼,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年11月30日 至 2017年12月01日""},{""品牌"":""老船客 ""},{""系列"":""福州鱼丸 ""},{""包装方式"":""包装 ""},{""食品工艺"":""冷冻水产 ""},{""产地"":""中国大陆 ""},{""省份"":""福建省 ""},{""城市"":""福州市 ""},{""重量(g)"":""500 ""},{""生产许可证编号"":""SC11135010500313""},{""厂名"":""福州迷你冷冻食品有限公司""},{""厂址"":""福州市马尾区福马路快安建坂（海军部队对面）福鑫实业有限公司加工楼1、2层""},{""厂家联系方式"":""18605082299""},{""保质期"":""365""}]}]}",1080202005,食品保健,,,{'福州鱼丸': '福州'},,福州鱼丸,2
1,2,538000000000.0,新鲜猪肺散养黑猪肺子现杀干净猪肺半熟肚肺汤原料 江浙沪6斤包邮,南通黑猪,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""江苏省""},{""城市"":""南通市""},{""净含量"":""500g""}]}]}",1080201003,食品保健,畜禽,,,,,0
2,3,44469556121.0,出售中药材大力子 牛蒡子  散装论斤卖  药用大力子,辽宁牛蒡,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""辽宁省""},{""品牌"":""牛蒡子""},{""系列"":""种子""},{""规格"":""筛选""},{""净含量"":""500g""}]}]}",1990101,食品保健,草药,,,,,0
3,4,563000000000.0,广西农家新鲜 五彩椒 七彩灯笼椒 珍珠椒 灯笼椒泡椒 种子 盆栽,百色珍珠,"{""groupProps"":[{""基本信息"":[{""城市"":""百色市""},{""产地"":""中国大陆""},{""省份"":""广西壮族自治区""},{""包装方式"":""食用农产品""},{""品种"":""其他""},{""热卖时间"":""5月,6月,7月,8月""},{""净含量"":""10g""}]}]}",19902,其他行业,蔬菜,,,,,0
4,5,527000000000.0,安华黑茶湖南安化金花黑茶荷香原叶茯茶手筑茯砖茶叶礼盒正宗,湖南黑茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2014年08月01日 至 2014年12月30日""},{""生产许可证编号"":""QS430914010567""},{""产品标准号"":""DB43/T569-2010""},{""厂名"":""安化县金道茶业有限公司""},{""厂址"":""安化县东坪镇酉州村四组""},{""厂家联系方式"":""15973756046""},{""配料表"":""优质黑毛茶""},{""储藏方法"":""通风干燥无异味长期保存""},{""保质期"":""9999999""},{""食品添加剂"":""无""},{""品牌"":""安化黑茶""},{""系列：规格"":""1000克""},{""包装方式"":""包装""},{""包装种类"":""盒装""},{""茶种类"":""安化黑茶""},{""级别"":""二级""},{""生长季节"":""春季""},{""是否为有机食品"":""否""},{""产地"":""中国大陆""},{""省份"":""湖南省""},{""形状"":""砖茶""},{""套餐份量"":""1人""},{""套餐周期"":""1个月""},{""配送频次"":""1周1次""},{""价格段"":""60-99元""},{""净含量"":""1000""}]}]}",1080501002,食品保健,茶饮,,{'安化黑茶': '安化'},,安化黑茶,2
5,6,524000000000.0,向辉甘草 甘草片中药材柳片100克甘草茶无硫 两袋包邮,兰州甘草,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年01月06日 至 2017年01月07日""},{""品牌"":""向辉 ""},{""品名"":""甘草片100克 ""},{""包装方式"":""包装 ""},{""产地"":""中国大陆 ""},{""省份"":""甘肃省 ""},{""城市"":""兰州市 ""},{""商品条形码"":""6920167300826 ""},{""净含量"":""100g ""},{""厂名"":""云南向辉药业有限公司""},{""厂址"":""昆明经开区中豪新册产业城F7幢""},{""厂家联系方式"":""400-008-7199""},{""配料表"":""甘草片""},{""储藏方法"":""置阴凉处，密封保存""},{""保质期"":""1825""},{""食品添加剂"":""无""}]}]}",1990101,食品保健,草药,,,,,0
6,7,45017597596.0,正宗宁夏中宁土特产枸杞210g 泡水煲汤独立包装特价包邮,中宁枸杞,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2016年10月18日 至 2016年10月20日""},{""生产许可证编号"":""QS640114020075""},{""产品标准号"":""GB/T18672""},{""厂名"":""宁夏曼苏尔清真食品有限公司""},{""厂址"":""宁夏银川市贺兰县德胜工业区兴发路与穆园路交汇处""},{""厂家联系方式"":""075525600451""},{""配料表"":""枸杞""},{""保质期"":""365""},{""食品添加剂"":""无""},{""包装方式"":""包装""},{""产地"":""中国大陆""},{""省份"":""宁夏回族自治区""},{""城市"":""银川市""},{""特产品类"":""中宁枸杞""},{""品牌"":""土农""},{""系列"":""宁夏枸杞""},{""规格"":""210/袋""},{""净含量"":""210g""}]}]}",1080102007,食品保健,草药,中宁枸杞,,,中宁枸杞,1
7,8,13743231251.0,普洱茶特价 茶王茶业熟茶 惠茗普洱茶 特价优惠,普洱茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2011年04月23日 至 2011年04月25日""},{""生产许可证编号"":""QS532714010043""},{""产品标准号"":""DB53/103-2006""},{""厂名"":""普洱茶王茶业集团股份有限公司""},{""厂址"":""云南省普洱市宁洱县宁洱镇""},{""厂家联系方式"":""13577999186""},{""配料表"":""云南大叶种晒青茶""},{""储藏方法"":""通风 干燥 无异味""},{""保质期"":""3650""},{""食品添加剂"":""无""},{""净含量"":""357g""},{""包装方式"":""包装""},{""包装种类"":""袋装""},{""普洱生产工艺"":""熟茶""},{""普洱茶年份"":""1年(含)-3年(不含)""},{""特产品类"":""普洱茶""},{""产地"":""中国大陆""},{""省份"":""云南省""},{""城市"":""普洱市""},{""价格段"":""1-59元""},{""形状"":""饼茶""},{""茶区"":""普洱茶区""}]}]}",1080501002,食品保健,茶饮,普洱茶,,,普洱茶,1
8,9,522000000000.0,凤冈绿豆锅巴粉条贵州遵义土特产两斤全国2斤包邮贵州特产,遵义绿豆,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""零食种类"":""其他/other""},{""产地"":""中国大陆""},{""省份"":""贵州省""},{""城市"":""遵义市""},{""净含量"":""500g""}]}]}",1080202001,食品保健,粮油,,,{'绿豆锅巴粉': '绿豆'},绿豆锅巴粉,3
9,10,561000000000.0,白色臭豆腐生胚浸制卤水正宗绍兴宁波霉苋菜梗原料蒸双臭非湖南,绍兴豆腐,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""浙江省""},{""城市"":""绍兴市""},{""净含量"":""500g""}]}]}",1080102009,食品保健,,,,"{'绍兴臭豆腐': '绍兴', '霉苋菜梗': ''}",绍兴臭豆腐,3
